movie_id,rated
4436,R
4594,R
4415,G
4363,Not Rated
6025,R
5694,R
4244,PG-13
4343,R
4355,R
4026,R
4306,R
4068,PG-13
4596,R
4243,PG-13
4452,N/A
5136,N/A
4846,PG-13
4595,R
4570,R
4407,PG-13
4514,PG-13
4013,PG
4364,PG-13
4282,PG-13
4695,PG-13
4557,PG-13
4431,PG
4902,PG
4464,Not Rated
5903,Not Rated
4817,TV-G
5393,PG
4217,PG-13
4251,R
4721,R
6307,R
4086,R
5129,PG-13
4707,R
4183,R
4010,PG
4558,PG
4305,R
5430,PG
4590,N/A
4437,R
4036,R
4448,PG-13
4302,R
4427,R
4627,PG-13
4276,PG
4901,NC-17
4622,R
4412,PG-13
5695,R
5335,PG-13
4116,R
4426,R
4716,PG-13
4413,PG
4535,PG-13
4690,PG-13
6004,G
8535,Not Rated
4916,PG-13
4718,PG
4692,R
5696,R
4182,R
4677,PG-13
4118,G
4688,PG-13
4701,R
4254,PG-13
4571,PG
4006,PG
4713,R
4365,R
4628,R
4898,PG-13
4554,R
4698,R
4184,PG
5697,TV-14
4451,PG-13
4897,PG-13
4849,R
4400,R
4568,R
4854,PG
4694,PG
5285,PG-13
5819,PG
5429,R
6175,G
4435,PG
4923,PG-13
4683,R
5423,PG
4454,PG-13
4933,R
4848,PG-13
6163,PG-13
4128,Not Rated
4938,R
4630,Not Rated
4511,PG-13
4836,R
4553,R
5382,R
5375,R
5866,PG-13
4951,PG-13
6008,TV-MA
4840,PG-13
5198,PG-13
4711,PG
5247,R
5880,TV-14
5889,R
4619,R
4457,PG-13
4555,PG
6032,Not Rated
4838,PG-13
4536,PG-13
4166,R
4971,PG-13
7508,Not Rated
4411,PG
4871,R
4708,PG-13
6066,Not Rated
5698,R
5359,R
5203,R
4689,R
5363,PG-13
4691,R
5699,R
4398,PG-13
4704,R
4543,PG-13
4839,R
4597,PG-13
4534,PG-13
5781,R
4092,Not Rated
4301,PG-13
4969,PG-13
5960,R
4954,R
4682,R
6168,PG
4618,PG
5208,PG-13
4953,PG-13
5246,PG
5299,PG-13
6864,PG
4952,PG
4625,PG-13
5436,PG
4420,Unrated
4414,PG-13
4968,R
6044,N/A
4906,R
4626,PG-13
4551,R
5147,Unrated
4696,G
4117,R
4509,PG-13
4567,R
7400,Not Rated
4544,PG-13
4510,PG-13
6418,PG
4934,R
5888,PG-13
4281,PG-13
5700,Not Rated
4095,PG
5189,N/A
6048,PG-13
4966,R
4617,R
4944,PG
5701,R
4920,R
5867,PG-13
5252,PG-13
5895,PG-13
5202,PG-13
4678,PG-13
4976,R
5338,R
4531,PG-13
4430,G
4401,R
4623,R
5702,PG-13
4855,PG-13
4843,PG-13
4970,PG-13
4943,R
4600,R
4919,R
4924,PG-13
4895,PG-13
4681,R
5703,R
4967,PG-13
4949,PG
5901,PG
4841,PG-13
4847,PG-13
5374,PG-13
4712,Unrated
6455,PG-13
4406,R
4940,R
4722,PG
5913,R
4921,PG-13
4720,R
4717,R
5362,PG-13
4853,PG-13
5426,G
6022,R
4545,PG
4842,PG-13
5253,PG
4974,PG-13
5112,R
5764,PG-13
5704,Not Rated
4687,R
5262,N/A
5705,PG
5376,PG-13
5835,R
4844,R
4680,R
4850,R
5408,N/A
5706,R
4546,PG-13
4456,Not Rated
5263,Not Rated
5897,R
4428,R
4686,R
6034,Not Rated
4858,PG-13
5124,Unrated
4907,PG-13
6321,R
5291,PG-13
5707,R
6335,PG
5345,R
4964,PG-13
5708,R
4899,R
5432,PG
5325,Unrated
4857,Not Rated
5377,PG
5709,N/A
5039,R
5433,R
6494,Not Rated
5710,R
5813,PG
5711,PG-13
5712,G
6200,PG-13
5988,R
4719,R
4851,PG
5401,R
5287,PG-13
5394,PG-13
4900,PG
5438,PG-13
5199,PG-13
5422,PG-13
5904,PG
4950,PG-13
5908,PG-13
5254,PG-13
5788,Not Rated
5834,R
5796,Not Rated
6260,R
5971,PG-13
5910,PG-13
5713,TV-14
4918,R
5290,PG
5379,PG-13
5207,PG
6061,PG-13
5395,R
5911,PG-13
5380,R
5791,PG-13
5288,PG-13
5803,PG-13
5836,PG
5399,PG-13
6050,PG-13
5439,R
5300,R
8075,PG
4932,R
5420,R
5378,PG-13
5818,R
6059,PG-13
5970,G
5767,R
5350,R
5817,PG-13
4917,PG
5281,R
5758,R
5938,R
5396,PG
6911,R
5344,PG-13
5417,R
4908,PG-13
5885,Not Rated
6154,PG-13
6474,Not Rated
5249,PG-13
5427,R
5763,R
7076,PG-13
4629,R
5807,R
5799,R
5205,R
4973,PG
5766,PG-13
4710,Unrated
5714,R
4939,R
4697,R
6058,PG
4931,PG-13
4941,R
5715,R
5450,R
5716,R
5248,PG-13
5351,PG-13
4856,R
6169,R
5770,R
6745,PG-13
5381,NC-17
5717,R
5113,R
6064,R
6035,R
6043,R
5383,R
6311,R
5777,R
7047,R
5718,Not Rated
5358,PG-13
5719,R
6305,PG
5346,R
5720,R
5721,PG
6003,PG
5722,R
6289,Not Rated
5200,R
6010,R
5723,R
8586,TV-MA
5428,PG-13
6006,Not Rated
5761,PG
5957,R
5201,R
6675,PG-13
5724,R
6354,R
6144,N/A
5336,R
7159,R
5337,PG-13
5801,PG
5398,R
5725,Not Rated
6015,PG-13
6564,R
5431,PG
5726,R
4859,PG-13
5347,G
5289,PG
6012,R
5727,Not Rated
5343,R
6805,PG-13
6071,PG-13
8312,PG-13
5771,R
5900,PG-13
6207,R
6119,PG-13
5348,PG-13
5892,Unrated
5728,PG-13
6026,R
6038,G
5882,PG
6660,PG-13
5298,PG-13
5849,PG-13
5729,R
5804,PG-13
5400,R
5917,PG-13
5730,PG-13
6587,PG-13
5784,R
6714,PG
5825,R
4715,N/A
6024,R
6005,R
6487,R
6459,PG-13
5731,PG-13
5732,R
5733,R
5360,R
8372,TV-MA
5922,PG-13
5126,R
6819,Not Rated
5209,PG
5416,R
6084,PG-13
5415,R
5776,PG-13
7069,PG
5891,R
6368,PG-13
5734,R
5933,PG
7591,R
5435,R
6266,TV-14
5869,PG-13
5735,Not Rated
6172,PG-13
5736,PG-13
5737,R
4972,PG-13
5976,PG-13
5738,PG-13
8154,TV-MA
5832,PG-13
5250,PG-13
5954,PG-13
7407,G
6001,PG-13
4965,R
5847,PG-13
8480,TV-G
4978,R
5739,Not Rated
4896,R
5740,R
5998,R
5950,PG-13
6638,PG-13
5772,R
6357,R
4679,PG-13
5741,R
7093,PG-13
5996,PG-13
6304,PG-13
5905,Not Rated
5286,R
5251,PG-13
6492,R
6110,G
5802,R
5918,R
5742,Not Rated
6171,PG-13
5934,PG-13
5863,TV-14
6358,G
5945,PG-13
7681,PG
6771,R
6235,PG
6108,PG
6081,R
6183,PG-13
5418,R
5978,PG-13
5884,N/A
5919,PG-13
6159,R
5899,PG
6028,R
6240,PG-13
5883,R
5994,R
5437,PG-13
5768,PG-13
5848,PG-13
5981,Not Rated
6000,PG-13
5743,R
6085,PG
6559,PG-13
6212,PG
5982,R
6453,PG-13
5744,R
7053,PG
6027,PG
5815,PG-13
6151,R
5745,TV-PG
5973,R
5746,Not Rated
5421,R
6255,R
6261,R
5968,R
5915,R
6009,PG-13
5747,R
5748,PG
5974,PG-13
7920,TV-MA
5749,R
6014,R
5750,R
5997,PG
5751,PG-13
6521,R
6538,PG
6020,PG-13
6180,PG-13
5411,PG-13
5775,Unrated
5292,R
5397,PG-13
5227,PG-13
5412,Unrated
5452,Not Rated
5414,PG-13
5886,PG-13
6749,Not Rated
6147,R
5792,PG-13
5759,PG-13
6068,PG-13
7723,G
6350,PG-13
5942,R
5831,PG
6016,R
6298,R
5937,R
6398,G
8547,Not Rated
5774,PG
5846,G
5419,PG-13
6102,PG
5890,R
6120,PG-13
5958,PG-13
6116,PG
6060,PG-13
7222,Not Rated
6801,PG
6167,R
5907,PG-13
7343,PG
6069,PG-13
6343,PG
6463,Not Rated
5995,R
5940,PG-13
5977,R
5990,PG-13
6211,PG-13
6884,R
5920,G
6054,R
6273,PG
5789,R
6540,PG-13
7664,PG-13
5865,R
6088,R
6363,PG-13
5989,PG-13
6076,PG-13
5814,Not Rated
5972,PG-13
6229,R
5943,R
5824,R
5909,PG
7108,R
5349,PG
5979,PG-13
5991,PG-13
6284,R
6118,R
6137,R
5755,PG-13
5752,R
5944,PG
6550,R
5965,R
6710,R
6002,PG-13
6052,PG
5955,R
6296,Not Rated
5931,PG-13
6274,R
6574,R
6067,R
6111,PG-13
5941,PG-13
5806,PG-13
5926,R
5992,PG-13
6514,R
6023,PG-13
6086,PG-13
7653,PG
6170,PG-13
6718,R
6507,N/A
7386,PG-13
6423,R
5939,R
6179,PG
6643,PG
6237,R
6438,R
6600,PG-13
7280,R
5952,R
6099,PG-13
6658,Not Rated
6094,PG
6457,PG
6431,PG
6417,PG-13
6176,R
6315,G
6518,PG-13
6045,PG
6080,R
6104,R
6258,PG-13
6215,PG-13
6535,PG
5924,R
6623,R
5773,N/A
6611,PG
6046,R
6056,R
6382,R
6387,PG
7246,N/A
5946,PG-13
6213,R
6011,R
6174,R
6100,PG-13
6973,PG
5805,R
5753,Unrated
6458,PG-13
6238,R
6018,PG
6291,R
5816,NC-17
6037,R
5956,R
5921,R
6257,N/A
6065,R
6039,Not Rated
5986,R
8533,Not Rated
7040,R
6129,R
6413,PG-13
6571,PG-13
6281,PG-13
6157,PG-13
5798,R
6218,PG-13
6851,G
5925,R
6112,N/A
8389,R
6275,R
6303,R
5987,R
6647,R
6527,R
7367,N/A
6224,Not Rated
6019,R
5966,PG-13
6830,PG-13
6101,PG-13
6106,R
6053,Not Rated
6189,PG-13
6204,R
6254,R
6444,PG
5762,R
6469,R
6297,PG
5833,PG-13
6155,R
6040,PG-13
6185,R
5864,G
5912,PG
6479,PG-13
6373,R
6276,PG-13
6699,PG-13
6371,R
5975,PG-13
6141,R
6758,Not Rated
6105,R
6730,R
6098,Not Rated
6646,PG-13
6339,R
6544,PG
7266,PG-13
6123,PG-13
6581,PG-13
5961,R
6427,PG
6484,PG-13
6395,R
6128,R
6162,R
6252,R
6678,R
6078,TV-PG
5932,G
7232,PG-13
6223,PG
6132,PG
6282,N/A
5959,R
5850,R
6210,PG-13
6041,R
6219,R
6451,N/A
6228,Not Rated
6166,PG-13
6748,PG-13
6262,G
6146,R
6786,R
7762,PG-13
6481,R
6584,PG-13
6508,R
7071,PG
6029,R
6369,R
7557,PG-13
6089,PG-13
6698,Unrated
7109,R
6017,PG
6279,PG-13
6310,R
6042,PG-13
6388,PG-13
6292,PG
6126,R
6047,R
8242,PG-13
6415,PG-13
6377,PG-13
7233,G
6031,R
5947,Not Rated
6140,PG-13
6152,R
7001,PG
5936,R
6243,PG-13
5923,PG-13
6136,PG-13
5984,PG-13
5914,Not Rated
6092,PG
6143,PG
6490,R
6150,PG-13
6124,PG
5906,PG
6926,PG-13
6278,R
6762,Not Rated
6149,R
6470,PG-13
6435,PG-13
6815,N/A
6682,PG
6145,PG-13
7749,TV-PG
6548,PG-13
7824,PG-13
6610,PG-13
6271,R
6378,R
6416,R
6322,PG-13
5962,TV-14
6087,PG
6242,PG-13
6021,PG-13
6158,PG-13
6617,PG-13
6524,R
6142,Not Rated
6721,PG-13
6380,R
6074,R
7322,Not Rated
6057,PG-13
6461,PG-13
6396,PG-13
6405,R
7275,PG-13
6139,PG-13
6196,PG-13
7256,R
6319,PG-13
6889,PG-13
6230,R
6400,R
6697,PG-13
7576,PG
6316,PG
6205,R
6114,R
6433,PG-13
6164,PG
6408,PG-13
6122,PG-13
6314,R
6082,R
6248,PG-13
7065,PG-13
6620,G
6077,R
6173,PG-13
6070,PG
6740,R
6522,R
6331,R
6509,R
6186,PG-13
6299,G
6998,PG-13
6414,G
6306,PG-13
6394,PG
7923,PG-13
6333,R
6379,PG
6269,PG-13
6134,R
6130,R
7817,PG
6121,PG-13
6221,PG-13
6127,PG-13
6313,R
8537,Not Rated
6406,R
7156,R
6198,PG
6757,R
7722,Not Rated
6287,R
6436,TV-PG
6390,R
6503,R
6800,PG-13
6113,PG-13
8203,R
6340,R
6222,PG-13
6083,R
6948,PG-13
6549,G
6272,R
6403,R
6277,PG
6302,Not Rated
6178,PG
6214,PG-13
6447,R
6341,R
6309,PG-13
7502,PG-13
6182,PG-13
8246,R
6916,PG-13
6439,R
6691,PG-13
6606,PG
6589,PG-13
6664,R
6920,PG
6326,R
6250,Not Rated
6466,R
6556,PG
6367,R
6483,PG
6397,R
6860,R
6846,Not Rated
6598,R
6449,PG-13
6467,PG-13
6234,PG-13
6184,PG-13
6428,R
6197,PG-13
6324,PG-13
6327,R
6567,R
7278,R
6251,R
6441,R
6575,PG
8515,TV-MA
6502,PG-13
6557,R
6808,PG
6519,R
6328,R
6866,PG-13
6493,R
6187,PG-13
6117,PG-13
8538,N/A
6501,PG-13
7566,R
6177,R
6768,PG-13
6614,PG-13
6568,PG-13
6202,R
8429,Not Rated
6236,R
6385,R
6338,Unrated
6131,R
6633,PG-13
6342,TV-PG
7995,R
6359,PG
6576,R
6217,PG-13
6356,Not Rated
8290,R
6301,PG-13
7577,PG-13
6562,Not Rated
7011,PG-13
6268,R
6577,R
6625,PG
7509,PG
7417,R
6013,N/A
6249,PG-13
7219,PG-13
6346,PG-13
6345,Not Rated
6329,R
6294,R
6115,PG
6912,PG-13
6165,R
8571,PG-13
6195,TV-G
6967,R
6351,R
6253,PG-13
6662,Not Rated
6825,N/A
6928,Not Rated
6355,PG-13
6389,PG-13
6482,R
7337,PG-13
6573,R
7597,PG-13
6216,PG
6541,R
6288,PG-13
6637,PG-13
6500,R
6203,PG-13
6199,R
7470,PG-13
6426,R
8358,PG-13
6107,Not Rated
6317,PG
6704,R
6446,PG
6712,R
6701,R
6227,R
6676,Unrated
6781,PG
7384,PG-13
6424,Not Rated
6515,PG-13
6560,PG-13
7200,PG-13
6312,R
6855,R
7418,R
6468,PG
7004,N/A
6365,R
7908,PG
6649,R
6384,PG-13
6360,PG-13
6334,PG
6290,PG-13
6776,R
6716,G
6680,R
6619,R
6280,PG-13
7218,PG-13
6513,PG
8430,TV-MA
6938,PG-13
7265,R
7632,PG-13
6722,PG-13
6256,PG-13
6244,R
6445,PG
6465,PG-13
6630,R
6404,PG-13
6381,PG-13
6410,R
6409,R
6190,PG
6925,PG-13
6607,PG-13
6874,R
6486,PG-13
6295,R
6580,Not Rated
6572,R
6353,PG-13
6737,R
6391,R
6582,R
7462,PG-13
6425,PG-13
6407,N/A
6293,R
6505,Not Rated
6208,PG
6511,PG
6270,R
6148,Unrated
6696,R
6437,R
6858,PG
8540,Not Rated
6440,PG-13
6192,PG
6727,PG-13
6442,R
6332,R
6517,R
6670,PG
6283,PG
7100,PG-13
6366,R
6485,R
6308,R
6546,Not Rated
7379,Not Rated
6563,R
6578,R
7074,TV-PG
7354,R
6510,R
6364,PG-13
6764,R
6523,R
6583,PG
7026,R
6460,PG-13
6525,R
6429,N/A
6456,PG-13
7934,R
7706,PG-13
7084,R
7180,G
6537,R
6898,R
6504,R
7435,N/A
6715,PG
6383,PG
7573,R
6605,PG-13
7768,PG-13
7955,PG-13
7318,PG
6565,R
6984,PG
6472,PG-13
7501,R
7096,PG-13
6590,PG-13
7095,G
6601,R
6434,R
6554,R
6604,R
7143,R
6495,R
6991,R
6325,TV-MA
6890,R
8262,PG
6464,PG-13
7909,PG-13
6543,PG-13
7081,R
7854,PG-13
7979,PG-13
7248,Not Rated
8611,R
7145,R
7179,R
6454,R
6711,PG-13
6636,PG-13
6919,PG-13
6477,R
6473,R
6542,PG-13
6352,PG-13
6265,R
6645,R
6393,R
6694,PG-13
6603,Not Rated
7187,PG-13
7452,PG-13
6724,R
6666,R
8325,N/A
8356,PG-13
6471,PG
6488,R
7302,PG-13
7086,PG-13
6566,R
7132,Unrated
6286,PG
6520,PG-13
7118,R
6608,Not Rated
6336,R
6923,PG-13
6330,Not Rated
7513,Not Rated
6621,R
6512,NC-17
7057,R
6526,PG-13
6596,TV-PG
7157,PG
6475,Unrated
8552,R
6733,TV-G
7585,PG
7413,R
6650,PG
6300,R
6624,PG-13
6685,Not Rated
6622,R
7240,TV-14
6751,R
6285,Not Rated
7148,PG
6827,PG-13
6872,Unrated
7167,R
6653,R
6480,PG-13
8056,PG-13
7309,R
8134,PG-13
7964,PG-13
7298,PG
7142,PG-13
6635,PG-13
6533,N/A
6961,PG-13
6934,PG-13
6344,PG-13
6844,PG
7464,PG-13
6392,R
6782,R
6570,PG-13
6602,PG
6671,R
6813,N/A
8270,PG-13
6476,R
6785,PG-13
8179,PG-13
6750,PG-13
6506,R
6609,PG-13
6857,R
6411,R
6940,Not Rated
7790,PG
6809,Not Rated
8545,Not Rated
6516,R
6883,PG
6720,R
6615,R
7292,R
6766,N/A
6579,R
6677,Unrated
7258,R
6443,R
6930,PG-13
7146,Not Rated
7024,PG
6820,R
7543,PG
6654,PG-13
8089,Not Rated
6347,PG
6569,Not Rated
8391,Not Rated
7544,PG-13
6994,R
7945,PG
6595,Not Rated
6794,PG-13
6421,R
6741,PG-13
6616,R
6642,R
6648,PG-13
7027,PG
6725,PG-13
7397,TV-14
8072,TV-14
7195,Not Rated
6892,R
8141,PG
6651,PG-13
6528,PG-13
6661,PG-13
6626,R
6823,R
7273,Not Rated
6944,Not Rated
6657,PG-13
7537,R
7263,TV-PG
6845,G
6553,Not Rated
7087,PG-13
7221,R
7294,PG-13
